iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
2,0,0,7920,0,0,4052,5.681195259094238,279.5728759765625,-0.0023256028071045876,0.0,0.0,0.0,0.0,757,-109.51776106502676,-110.33484446391836,-117.5593650868206,-100.35360872495858
3,0,0,11880,0,0,4735,5.680593490600586,186.36940002441406,-0.001695749000646174,0.0,0.0,0.0,0.0,757,-108.41111950376796,-106.98022810427534,-123.56658601392124,-98.52955727573857
4,0,0,15840,0,0,5257,5.680496692657471,102.15787506103516,-0.0015916271368041635,0.0,0.0,0.0,0.0,757,-108.9499447153213,-107.7622115290643,-130.8171349746386,-98.52955727573857
5,0,0,19800,0,0,5540,5.680963039398193,43.18494415283203,-0.002352494280785322,0.0,0.0,0.0,0.0,757,-108.93094003612704,-107.6001972387551,-130.8171349746386,-98.52955727573857
6,0,0,23760,0,0,5718,5.680497646331787,23.864215850830078,-0.003054126165807247,0.0,0.0,0.0,0.0,757,-108.67954826424169,-107.04484061733167,-130.8171349746386,-98.52955727573857
7,0,0,27720,0,0,5896,5.677793025970459,15.982880592346191,-0.004505922552198172,0.0,0.0,0.0,0.0,757,-108.94667152082489,-107.19322428813142,-130.8171349746386,-98.52955727573857
8,0,0,31680,0,0,5980,5.675053596496582,12.882344245910645,-0.005667814519256353,0.0,0.0,0.0,0.0,757,-109.21661487228036,-107.29117368417079,-133.52193176318147,-98.27501091633489
9,0,0,35640,0,0,6110,5.674300193786621,7.358738422393799,-0.005087721161544323,0.0,0.0,0.0,0.0,757,-109.39197917798452,-107.29117368417079,-133.52193176318147,-98.27501091633489
10,0,0,39600,0,0,6174,5.675415515899658,5.7450270652771,-0.006430398672819138,0.0,0.0,0.0,0.0,757,-109.54803705986005,-107.35812835720367,-138.00350276744553,-98.27501091633489
11,0,0,43560,0,0,6172,5.671807765960693,2.6332080364227295,-0.009159963577985764,0.0,0.0,0.0,0.0,757,-109.58745474454595,-107.35812835720367,-138.00350276744553,-98.27501091633489
12,0,0,47520,0,0,6177,5.663582801818848,1.230469822883606,-0.010622164234519005,0.0,0.0,0.0,0.0,757,-109.58745474454595,-107.35812835720367,-138.00350276744553,-98.27501091633489
