iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
1,0,0,39960,0,0,5624,29.665996551513672,190.81442260742188,-0.044492948800325394,0.0,0.0,0.0,0.0,2002,-82.38761651399447,-74.53061211330713,-433.1749519404798,-27.3011185741816
2,0,0,79920,0,0,5609,29.53567886352539,143.98977661132812,-0.04852974787354469,0.0,0.0,0.0,0.0,2002,-70.9707344438191,-65.08275297006894,-294.86841592689166,-19.580100426068388
3,0,0,119880,0,0,5019,29.399194717407227,154.51034545898438,-0.047599971294403076,0.0,0.0,0.0,0.0,2002,-69.46702936487326,-60.946841430561264,-203.59109841603168,-18.69527841770718
4,0,0,159840,0,0,4651,29.243595123291016,126.58409881591797,-0.05379433557391167,0.0,0.0,0.0,0.0,2002,-65.73874475166694,-60.76474577737174,-220.18351639668919,-14.08919471900021
5,0,0,199800,0,0,4385,29.067291259765625,104.25546264648438,-0.05431145057082176,0.0,0.0,0.0,0.0,2002,-60.07389844221689,-56.18871876423278,-159.7011345201176,-20.675832534318907
6,0,0,239760,0,0,4219,28.85828399658203,93.94011688232422,-0.05499068275094032,0.0,0.0,0.0,0.0,2002,-55.75247436283198,-51.37836928079049,-171.62612416371692,-16.89341478116381
7,0,0,279720,0,0,4105,28.626115798950195,98.79696655273438,-0.050144489854574203,0.0,0.0,0.0,0.0,2002,-48.17278543764901,-46.32352132165871,-134.107903650692,-5.723130566326757
8,0,0,319680,0,0,4025,28.371776580810547,72.50428771972656,-0.05369824171066284,0.0,0.0,0.0,0.0,2002,-47.922572340871945,-44.89309646375514,-319.0921179813253,-13.150456639602512
9,0,0,359640,0,0,3994,28.085472106933594,50.50077438354492,-0.05607234314084053,0.0,0.0,0.0,0.0,2002,-39.22761946327521,-38.871448136557014,-97.75497906346094,-6.0695419053130415
10,0,0,399600,0,0,3959,27.79680824279785,54.14298629760742,-0.05100851133465767,0.0,0.0,0.0,0.0,2002,-37.92585010495324,-33.53883775689556,-262.40021217049366,-1.5299189153924972
11,0,0,439560,0,0,3921,27.470478057861328,41.77726745605469,-0.05161914974451065,0.0,0.0,0.0,0.0,2002,-30.86810169919492,-30.49281153976819,-84.15520757390632,75.61068602410091
12,0,0,479520,0,0,3900,27.15583610534668,42.977787017822266,-0.0490085631608963,0.0,0.0,0.0,0.0,2002,-30.97901951654239,-30.182570704385014,-162.51957204539957,4.657549714187148
