iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
1,0,0,39960,0,0,5577,29.659263610839844,168.598876953125,-0.04777636006474495,0.0,0.0,0.0,0.0,1501,-80.40816788956863,-75.02588648247213,-201.70412095959983,-23.394454793771175
2,0,0,79920,0,0,5072,29.538122177124023,150.75009155273438,-0.04838655889034271,0.0,0.0,0.0,0.0,1501,-74.81148487278513,-67.38717823120479,-174.36603086676743,6.415623310755219
3,0,0,119880,0,0,4719,29.414291381835938,148.50328063964844,-0.05257921293377876,0.0,0.0,0.0,0.0,1501,-73.35080755185075,-68.42913671615369,-217.19364772922103,-22.171947055894684
4,0,0,159840,0,0,4417,29.27288818359375,142.50784301757812,-0.050633031874895096,0.0,0.0,0.0,0.0,1501,-65.9715628013668,-57.35923867766752,-210.63588385529428,-18.34734752997386
5,0,0,199800,0,0,4325,29.09577178955078,112.60071563720703,-0.053103599697351456,0.0,0.0,0.0,0.0,1501,-54.40317658769853,-52.750962298801966,-132.72565735932022,37.96332446482228
6,0,0,239760,0,0,4202,28.911930084228516,98.97966003417969,-0.052876293659210205,0.0,0.0,0.0,0.0,1501,-53.89864744644314,-50.92056831979664,-129.14968641442,29.621463518392087
7,0,0,279720,0,0,4103,28.69248390197754,70.0625,-0.0562773160636425,0.0,0.0,0.0,0.0,1501,-49.44372242354707,-49.735017709921905,-101.91728788557266,-13.23985547002095
8,0,0,319680,0,0,4019,28.446598052978516,72.4878921508789,-0.053903304040431976,0.0,0.0,0.0,0.0,1501,-43.45657342132875,-41.80493199239603,-92.15503805214122,-13.464595831243994
9,0,0,359640,0,0,3975,28.151493072509766,61.02587890625,-0.052638404071331024,0.0,0.0,0.0,0.0,1501,-42.72145163182718,-37.878394767483826,-218.94704799348105,-10.86800756185778
10,0,0,399600,0,0,3939,27.868152618408203,50.9719123840332,-0.051297787576913834,0.0,0.0,0.0,0.0,1501,-37.74223410200455,-35.19522751604225,-178.77173851534965,-12.143852705386664
11,0,0,439560,0,0,3907,27.548255920410156,41.467220306396484,-0.05409615859389305,0.0,0.0,0.0,0.0,1501,-34.227188436741386,-31.33355200751018,-108.36094127822213,-4.744463176884883
12,0,0,479520,0,0,3913,27.24064826965332,41.74550247192383,-0.05001889914274216,0.0,0.0,0.0,0.0,1501,-34.220358427141825,-32.143496936295996,-208.89079857512405,-3.7343529473014563
13,0,0,519480,0,0,3899,26.85666847229004,28.764970779418945,-0.056037694215774536,0.0,0.0,0.0,0.0,1501,-27.591021589362057,-27.224444554064316,-59.40655357596585,1.6290058316296196
14,0,0,559440,0,0,3873,26.509132385253906,31.385040283203125,-0.04819830507040024,0.0,0.0,0.0,0.0,1501,-24.64434160456081,-23.76811985610918,-133.98526282008137,4.401280203436444
15,0,0,599400,0,0,3853,26.128681182861328,26.50484275817871,-0.05097712576389313,0.0,0.0,0.0,0.0,1501,-21.29473422166156,-21.3897496668406,-57.87297634290689,-0.20326327824964707
16,0,0,639360,0,0,3844,25.743730545043945,20.038087844848633,-0.05215895548462868,0.0,0.0,0.0,0.0,1501,-21.466557070071918,-20.84990625757715,-62.80583277275995,3.230402336966076
17,0,0,679320,0,0,3832,25.36146354675293,21.849456787109375,-0.05202484130859375,0.0,0.0,0.0,0.0,1501,-19.00943403631373,-17.34059001981207,-79.6004875486184,9.99071342562669
18,0,0,719280,0,0,3816,24.9705753326416,16.619033813476562,-0.05314771831035614,0.0,0.0,0.0,0.0,1501,-15.23400203515775,-14.404026076198258,-35.215818607247286,17.393901110572436
19,0,0,759240,0,0,3805,24.60971450805664,18.304603576660156,-0.04923421889543533,0.0,0.0,0.0,0.0,1501,-14.13411893747088,-13.518632384175673,-38.89598829950328,8.707214726166868
20,0,0,799200,0,0,3795,24.250736236572266,29.849363327026367,-0.03713975101709366,0.0,0.0,0.0,0.0,1501,-12.71572428145589,-11.452503306086431,-128.01097871120447,15.023718057928942
21,0,0,839160,0,0,3790,23.821409225463867,13.104313850402832,-0.04867207631468773,0.0,0.0,0.0,0.0,1501,-10.981174061165234,-11.290378411220551,-30.745853455699297,9.174757796782622
22,0,0,879120,0,0,3779,23.435142517089844,13.087990760803223,-0.050839461386203766,0.0,0.0,0.0,0.0,1501,-10.122739131255852,-8.164592123091452,-43.434180290584514,9.464158047250134
23,0,0,919080,0,0,3773,23.04817008972168,12.1609525680542,-0.04773133248090744,0.0,0.0,0.0,0.0,1501,-7.770073160808375,-6.8330884868150275,-30.59212348743421,10.62489337664394
24,0,0,959040,0,0,3763,22.630146026611328,10.964751243591309,-0.04833405464887619,0.0,0.0,0.0,0.0,1501,-6.316277229876522,-5.905169957914069,-27.64281247800696,14.931397905031266
25,0,0,999000,0,0,3755,22.211450576782227,9.551615715026855,-0.04802123084664345,0.0,0.0,0.0,0.0,1501,-5.863186390058514,-5.680415170972182,-30.861323900581926,17.216719748912148
26,0,0,1038960,0,0,3761,21.790739059448242,8.84109878540039,-0.04936106503009796,0.0,0.0,0.0,0.0,1501,-4.080386598837376,-3.7555632720619165,-25.807295921887743,11.830621024004403
27,0,0,1078920,0,0,3756,21.374052047729492,8.545039176940918,-0.04718758538365364,0.0,0.0,0.0,0.0,1501,-2.3708098401907933,-2.1807651840108555,-21.928619983059164,18.720538539513637
28,0,0,1118880,0,0,3751,20.940288543701172,7.717522144317627,-0.04655475169420242,0.0,0.0,0.0,0.0,1501,-3.1270860833969256,-2.862316815098452,-21.968889834293464,16.610885619269453
29,0,0,1158840,0,0,3741,20.53281021118164,7.378581523895264,-0.045667361468076706,0.0,0.0,0.0,0.0,1501,-0.9890424781698659,-1.3008099295705975,-19.647859468720377,20.716753392813754
