iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
1,0,0,39960,0,0,5399,29.66118621826172,157.42518615722656,-0.04754536598920822,0.0,0.0,0.0,0.0,1001,-80.46571696214005,-73.35215504863118,-206.85114827767276,-24.230348587212397
2,0,0,79920,0,0,5058,29.54463768005371,177.3621826171875,-0.04480549320578575,0.0,0.0,0.0,0.0,1001,-73.99193830525404,-65.03327953978875,-257.67000887592604,-24.532466212025298
3,0,0,119880,0,0,4697,29.3984317779541,168.88900756835938,-0.047347765415906906,0.0,0.0,0.0,0.0,1001,-66.19233364081525,-63.093114795264725,-164.1312359593691,-6.754732424308104
4,0,0,159840,0,0,4468,29.237157821655273,130.27952575683594,-0.05129757523536682,0.0,0.0,0.0,0.0,1001,-65.74875160319726,-59.400121191967386,-155.89913037004828,-22.08668325509084
5,0,0,199800,0,0,4290,29.05541229248047,113.23392486572266,-0.05180220678448677,0.0,0.0,0.0,0.0,1001,-58.01221872271193,-54.58238428841098,-153.11871697727688,-11.785580890889344
6,0,0,239760,0,0,4150,28.859670639038086,85.97797393798828,-0.05673366039991379,0.0,0.0,0.0,0.0,1001,-52.77514754936017,-50.18323452455012,-145.23319645686811,-11.426314728913272
7,0,0,279720,0,0,4054,28.62843894958496,81.17533111572266,-0.05329686030745506,0.0,0.0,0.0,0.0,1001,-48.63989160439385,-47.23428808232903,-132.98215615470403,-15.142846338663235
8,0,0,319680,0,0,4019,28.36840057373047,63.93626022338867,-0.05411594733595848,0.0,0.0,0.0,0.0,1001,-44.84980377911247,-44.697733716617655,-129.87590818596675,-8.659604888209307
9,0,0,359640,0,0,3963,28.087013244628906,48.302520751953125,-0.056814130395650864,0.0,0.0,0.0,0.0,1001,-40.38326710594702,-39.67163105613099,-143.91231838017956,-6.56321335619538
10,0,0,399600,0,0,3934,27.80181884765625,51.709327697753906,-0.054404180496931076,0.0,0.0,0.0,0.0,1001,-35.56628294255037,-33.723825133677906,-86.28661357633155,-4.134225821865423
11,0,0,439560,0,0,3893,27.489879608154297,37.23386764526367,-0.05524149909615517,0.0,0.0,0.0,0.0,1001,-33.00641294000285,-31.562220352706724,-95.71647387036833,27.991787118852127
12,0,0,479520,0,0,3852,27.128944396972656,32.27507781982422,-0.05553789064288139,0.0,0.0,0.0,0.0,1001,-30.098466143045357,-28.7740279931575,-82.46027052510611,-6.138005570954085
13,0,0,519480,0,0,3833,26.763771057128906,29.087013244628906,-0.05269911140203476,0.0,0.0,0.0,0.0,1001,-27.859616740544006,-27.818285966252084,-92.47707757139341,18.167235242771145
14,0,0,559440,0,0,3806,26.396995544433594,28.26688575744629,-0.049383800476789474,0.0,0.0,0.0,0.0,1001,-22.934614578884805,-22.044799755429363,-45.31564196917905,-2.0955739986245865
15,0,0,599400,0,0,3786,26.01702308654785,21.329906463623047,-0.05442792549729347,0.0,0.0,0.0,0.0,1001,-20.569171544358944,-20.01527625684399,-55.465419654590754,6.498668356101463
16,0,0,639360,0,0,3766,25.671995162963867,28.637269973754883,-0.044036488980054855,0.0,0.0,0.0,0.0,1001,-22.5898437827521,-21.46281629583345,-74.83815087332086,6.669437465028256
17,0,0,679320,0,0,3761,25.2589168548584,18.106197357177734,-0.052879881113767624,0.0,0.0,0.0,0.0,1001,-18.407580184477826,-18.516385665698408,-43.62686087667129,1.25628829085848
18,0,0,719280,0,0,3741,24.889005661010742,22.03806495666504,-0.04302269592881203,0.0,0.0,0.0,0.0,1001,-16.727610438686654,-15.875207253034004,-50.78506317167332,3.6286117277927423
19,0,0,759240,0,0,3738,24.492816925048828,16.28801727294922,-0.05029192194342613,0.0,0.0,0.0,0.0,1001,-13.127502879092864,-13.562954259575523,-42.381884765566696,11.538676490423551
20,0,0,799200,0,0,3724,24.09701156616211,14.742612838745117,-0.05102148279547691,0.0,0.0,0.0,0.0,1001,-12.043430336942935,-11.588458161848099,-29.85759382812349,6.43607547390961
21,0,0,839160,0,0,3712,23.707612991333008,13.007974624633789,-0.050736140459775925,0.0,0.0,0.0,0.0,1001,-10.376480044272022,-9.595783750170884,-34.80558226193369,7.916344547127932
22,0,0,879120,0,0,3704,23.28661346435547,11.746192932128906,-0.0513073168694973,0.0,0.0,0.0,0.0,1001,-8.584784205459531,-8.008571226542818,-36.84372673169185,11.837270319304581
23,0,0,919080,0,0,3698,22.878437042236328,10.764554023742676,-0.05000952258706093,0.0,0.0,0.0,0.0,1001,-7.789412197623586,-6.457148749268855,-26.439481557186227,10.475375109959158
24,0,0,959040,0,0,3688,22.466297149658203,11.400505065917969,-0.04768605902791023,0.0,0.0,0.0,0.0,1001,-5.762968529269699,-5.87453064404029,-28.754957157017003,12.626411839067032
25,0,0,999000,0,0,3684,22.03717803955078,9.658397674560547,-0.04982771724462509,0.0,0.0,0.0,0.0,1001,-5.75478611004037,-5.544298076811138,-32.10672159972813,11.59436643427757
26,0,0,1038960,0,0,3678,21.60147476196289,8.989590644836426,-0.04901043325662613,0.0,0.0,0.0,0.0,1001,-3.0019137152262654,-2.6748116561394966,-27.544010383039,16.129668281930385
27,0,0,1078920,0,0,3671,21.193790435791016,8.168262481689453,-0.04844891279935837,0.0,0.0,0.0,0.0,1001,-3.302255654762838,-3.8685406549351766,-25.20009780474935,14.86490148114463
28,0,0,1118880,0,0,3663,20.802738189697266,7.352391719818115,-0.04802019149065018,0.0,0.0,0.0,0.0,1001,-1.1195206237981308,-1.4620214148366453,-20.6098521424697,15.875503690316606
29,0,0,1158840,0,0,3663,20.38371467590332,6.657902240753174,-0.046992722898721695,0.0,0.0,0.0,0.0,1001,-0.6797187292971533,-1.0647067837386448,-23.692531230390518,20.27484253982233
30,0,0,1198800,0,0,3662,19.967365264892578,6.433880805969238,-0.047314830124378204,0.0,0.0,0.0,0.0,1001,-0.11127273455894159,-1.2249441203372793,-21.22032077449497,29.13281899598848
31,0,0,1238760,0,0,3661,19.542085647583008,6.729275703430176,-0.04571474716067314,0.0,0.0,0.0,0.0,1001,1.7856221708795517,1.7470215672448557,-19.22429585033494,24.637661874169872
32,0,0,1278720,0,0,3656,19.137962341308594,5.794614791870117,-0.0464269258081913,0.0,0.0,0.0,0.0,1001,3.8103135894152653,3.7788257615594296,-16.442923634184854,26.7807423814038
33,0,0,1318680,0,0,3650,18.723514556884766,5.347894191741943,-0.04423247650265694,0.0,0.0,0.0,0.0,1001,3.4678580201111107,2.8392210207555983,-14.792446640510049,26.156594490167773
34,0,0,1358640,0,0,3645,18.309341430664062,4.976988792419434,-0.04622124880552292,0.0,0.0,0.0,0.0,1001,4.09545739072668,4.539846535353658,-18.08272689353892,21.43628439751659
35,0,0,1398600,0,0,3641,17.90140151977539,4.230034828186035,-0.04548284783959389,0.0,0.0,0.0,0.0,1001,5.133337163392772,5.5484880775471925,-17.597402043432467,23.632531882970547
36,0,0,1438560,0,0,3647,17.51474952697754,4.272822380065918,-0.04494314640760422,0.0,0.0,0.0,0.0,1001,6.611987512955909,6.005736916773685,-18.275610117700804,21.79076117120594
37,0,0,1478520,0,0,3643,17.105297088623047,4.218235969543457,-0.04475849121809006,0.0,0.0,0.0,0.0,1001,7.282689273176446,7.061517910700864,-39.26384393469653,28.204080673335138
38,0,0,1518480,0,0,3642,16.72791862487793,3.962939977645874,-0.043271999806165695,0.0,0.0,0.0,0.0,1001,8.895087470577574,8.745663358978678,-11.648002652366133,27.77010812204253
39,0,0,1558440,0,0,3637,16.345624923706055,3.7690632343292236,-0.04397795349359512,0.0,0.0,0.0,0.0,1001,9.349344521718024,8.784147709947863,-10.483903352454078,27.258971035501517
40,0,0,1598400,0,0,3633,15.97057819366455,3.3782432079315186,-0.0443049855530262,0.0,0.0,0.0,0.0,1001,9.215932607611968,8.110535643900942,-10.484854756117475,26.423526947351437
41,0,0,1638360,0,0,3632,15.58220100402832,3.341494560241699,-0.04394499957561493,0.0,0.0,0.0,0.0,1001,10.63792639007529,9.554217499108077,-5.323357684271566,33.968363189770585
42,0,0,1678320,0,0,3629,15.231325149536133,3.5928080081939697,-0.043791741132736206,0.0,0.0,0.0,0.0,1001,12.479582121174872,11.722135193622798,-11.065960235103422,28.169711231833652
43,0,0,1718280,0,0,3627,14.869033813476562,3.4917678833007812,-0.042544856667518616,0.0,0.0,0.0,0.0,1001,12.925451725717462,12.628659295714666,-6.2333108537862,29.748206506820353
44,0,0,1758240,0,0,3626,14.50449275970459,3.2414989471435547,-0.04110932722687721,0.0,0.0,0.0,0.0,1001,13.520693343760017,12.847565259639387,-8.33676627515244,34.091309320610975
45,0,0,1798200,0,0,3624,14.169143676757812,3.4925897121429443,-0.041485026478767395,0.0,0.0,0.0,0.0,1001,13.931187994171038,13.874685122715508,-6.757530345434733,42.18215407271203
46,0,0,1838160,0,0,3623,13.840746879577637,3.798966884613037,-0.040561653673648834,0.0,0.0,0.0,0.0,1001,15.991357610847757,15.332057160230455,-5.990124462720445,38.05481158950957
47,0,0,1878120,0,0,3621,13.53722095489502,3.984426975250244,-0.041674528270959854,0.0,0.0,0.0,0.0,1001,14.50153119863172,14.528628328059867,-8.6485807918659,38.00692839475386
48,0,0,1918080,0,0,3621,13.239776611328125,4.049372673034668,-0.03990460932254791,0.0,0.0,0.0,0.0,1001,16.213359723324388,15.787422609070155,-7.0280226610432575,39.47566622844214
49,0,0,1958040,0,0,3618,12.966018676757812,4.2673258781433105,-0.040567003190517426,0.0,0.0,0.0,0.0,1001,17.831223867264782,16.11880984320786,-1.8407164090453916,44.98931032979959
50,0,0,1998000,0,0,3617,12.706872940063477,4.997835636138916,-0.04007318243384361,0.0,0.0,0.0,0.0,1001,17.819470491536503,18.073668997777986,-4.369024542863707,39.53177276417171
51,0,0,2037960,0,0,3616,12.471818923950195,5.395206451416016,-0.0410769023001194,0.0,0.0,0.0,0.0,1001,18.377765829183854,17.969205029510753,-4.190045600216957,45.32241582496504
52,0,0,2077920,0,0,3614,12.244858741760254,5.6715779304504395,-0.04084467515349388,0.0,0.0,0.0,0.0,1001,18.60941745036106,19.948782783716794,-4.490439725952387,49.828427177244
53,0,0,2117880,0,0,3611,12.050128936767578,6.531463146209717,-0.043799251317977905,0.0,0.0,0.0,0.0,1001,21.05635996199194,21.279773079020018,-3.124811911135671,48.184173898943435
54,0,0,2157840,0,0,3608,11.8689546585083,7.720308780670166,-0.047396719455718994,0.0,0.0,0.0,0.0,1001,19.37136401766871,20.01315244502302,-4.866879109476671,55.317326013093506
55,0,0,2197800,0,0,3606,11.70433235168457,9.877251625061035,-0.049353234469890594,0.0,0.0,0.0,0.0,1001,26.93989894071279,24.053762807699556,-1.0872074809621375,65.14394204677572
56,0,0,2237760,0,0,3605,11.581870079040527,10.594009399414062,-0.05160237103700638,0.0,0.0,0.0,0.0,1001,26.950213961879566,26.021113447250592,-3.3897365270213684,67.14700388223336
57,0,0,2277720,0,0,3606,11.469694137573242,12.23054027557373,-0.05202998220920563,0.0,0.0,0.0,0.0,1001,28.94430121215459,27.951172676981475,-11.270730765009265,61.101920769063554
58,0,0,2317680,0,0,3604,11.3472900390625,12.790169715881348,-0.054749321192502975,0.0,0.0,0.0,0.0,1001,35.527889813293406,34.5280603962787,-5.185768580391453,80.53075510184006
59,0,0,2357640,0,0,3604,11.23974609375,13.247913360595703,-0.053201355040073395,0.0,0.0,0.0,0.0,1001,38.403044903158495,38.112508164475095,0.22131477427672452,90.349176281858
60,0,0,2397600,0,0,3605,11.148675918579102,13.131990432739258,-0.053238190710544586,0.0,0.0,0.0,0.0,1001,41.98101013608949,42.841132967922256,-3.7356347414734024,78.25852731359744
61,0,0,2437560,0,0,3602,11.051984786987305,13.423928260803223,-0.05255228281021118,0.0,0.0,0.0,0.0,1001,46.15758951355697,47.362621168441564,-2.8655117574392843,99.69629580063896
62,0,0,2477520,0,0,3603,10.969437599182129,12.31917953491211,-0.051196277141571045,0.0,0.0,0.0,0.0,1001,49.992377984276224,52.68515426294494,1.1351345371312966,95.15040534980682
63,0,0,2517480,0,0,3601,10.880518913269043,11.284255027770996,-0.051321521401405334,0.0,0.0,0.0,0.0,1001,49.00630078411582,51.67898816867388,-28.67800105966161,84.7622138642078
64,0,0,2557440,0,0,3601,10.784910202026367,11.094721794128418,-0.0510437972843647,0.0,0.0,0.0,0.0,1001,51.907883880247596,55.14807840321985,0.9438157653411645,93.23007585572005
65,0,0,2597400,0,0,3599,10.689031600952148,11.296097755432129,-0.050565481185913086,0.0,0.0,0.0,0.0,1001,51.86392002744103,52.596159665894945,1.621132979924088,100.42558619495719
66,0,0,2637360,0,0,3597,10.586751937866211,10.524068832397461,-0.04803483560681343,0.0,0.0,0.0,0.0,1001,57.30476008768905,57.151586356149174,11.073977029501037,89.24408296522182
67,0,0,2677320,0,0,3595,10.481627464294434,9.60954761505127,-0.04996490478515625,0.0,0.0,0.0,0.0,1001,56.71141476831162,58.062173094011754,13.699656876831433,98.92455616399899
68,0,0,2717280,0,0,3592,10.377385139465332,9.516935348510742,-0.05063258484005928,0.0,0.0,0.0,0.0,1001,58.741806149818935,59.50047187712511,23.81590722193463,94.53095344542511
69,0,0,2757240,0,0,3591,10.288277626037598,9.560976028442383,-0.05139729753136635,0.0,0.0,0.0,0.0,1001,59.89577596366426,59.87584377366932,7.920047379823263,101.05217231799955
70,0,0,2797200,0,0,3589,10.202432632446289,10.258439064025879,-0.047692377120256424,0.0,0.0,0.0,0.0,1001,63.591335002595805,64.63680391945303,21.65141630117594,90.94497765922591
71,0,0,2837160,0,0,3587,10.120347023010254,9.17491626739502,-0.050770897418260574,0.0,0.0,0.0,0.0,1001,62.96932746372276,63.64810386000792,14.70161127640495,115.38241603054765
72,0,0,2877120,0,0,3587,10.032488822937012,9.45205307006836,-0.05062980204820633,0.0,0.0,0.0,0.0,1001,60.63550670700564,62.70155637433204,13.459715306944235,94.28160999935875
73,0,0,2917080,0,0,3584,9.955668449401855,8.357439994812012,-0.049907930195331573,0.0,0.0,0.0,0.0,1001,67.4216720808092,68.54535116421583,14.526574674924198,110.76930699338115
74,0,0,2957040,0,0,3583,9.873943328857422,8.505765914916992,-0.05117889493703842,0.0,0.0,0.0,0.0,1001,67.47915967242304,66.44159178601173,21.633308622032978,103.16811234603
75,0,0,2997000,0,0,3582,9.79243278503418,8.207447052001953,-0.05053083971142769,0.0,0.0,0.0,0.0,1001,68.76862313900935,72.4768511883212,3.55222344205228,105.24431270070829
76,0,0,3036960,0,0,3580,9.702054977416992,8.112381935119629,-0.05090896412730217,0.0,0.0,0.0,0.0,1001,66.45675581405497,68.3538086945866,-9.08292223130514,105.04835570179252
77,0,0,3076920,0,0,3577,9.622652053833008,9.236027717590332,-0.04989168047904968,0.0,0.0,0.0,0.0,1001,71.8190632368185,73.55074332272004,23.91026263889342,111.84092073663575
78,0,0,3116880,0,0,3575,9.534735679626465,10.09400749206543,-0.04666190594434738,0.0,0.0,0.0,0.0,1001,69.40602270491263,68.31454073772363,30.73359683370568,112.79714169461089
79,0,0,3156840,0,0,3577,9.439970970153809,8.357563018798828,-0.049948643893003464,0.0,0.0,0.0,0.0,1001,72.10272670624639,73.69234113277821,9.972411174786998,110.37683027546962
80,0,0,3196800,0,0,3577,9.345454216003418,8.613093376159668,-0.05096681788563728,0.0,0.0,0.0,0.0,1001,73.30017261777986,75.17446345091516,30.17209496689629,121.36260598487242
81,0,0,3236760,0,0,3576,9.249529838562012,9.111692428588867,-0.04797791317105293,0.0,0.0,0.0,0.0,1001,75.3550359466133,76.4019852248973,8.022501584972305,113.06710262557922
82,0,0,3276720,0,0,3576,9.1604642868042,8.397064208984375,-0.05043557658791542,0.0,0.0,0.0,0.0,1001,75.93473011932021,76.29085901805504,23.067039093127207,118.20467996386773
83,0,0,3316680,0,0,3573,9.080098152160645,7.890121936798096,-0.05140886828303337,0.0,0.0,0.0,0.0,1001,77.41460847662658,77.30841010142376,27.260869243629855,117.60023185766204
84,0,0,3356640,0,0,3575,9.003718376159668,7.981227874755859,-0.05030028522014618,0.0,0.0,0.0,0.0,1001,80.1954074990511,82.18372304222218,23.106801555686104,121.61828704238111
85,0,0,3396600,0,0,3574,8.919779777526855,7.858382225036621,-0.05103792995214462,0.0,0.0,0.0,0.0,1001,78.70843998319523,79.78870461229099,0.10099798088012424,126.64398880492581
86,0,0,3436560,0,0,3572,8.840439796447754,8.275603294372559,-0.04982530698180199,0.0,0.0,0.0,0.0,1001,77.90494686757535,78.88727279137683,22.285023857968874,114.74914055171999
87,0,0,3476520,0,0,3572,8.761670112609863,7.708421230316162,-0.04988059774041176,0.0,0.0,0.0,0.0,1001,79.65372591209734,80.48547642382795,33.81993649253899,114.0708248379155
88,0,0,3516480,0,0,3570,8.677038192749023,10.123066902160645,-0.04678483307361603,0.0,0.0,0.0,0.0,1001,80.23040286199146,81.85598640533507,-57.280781345506284,121.9877191514105
89,0,0,3556440,0,0,3570,8.612826347351074,8.1900634765625,-0.05043436959385872,0.0,0.0,0.0,0.0,1001,85.25138753665676,84.29328772777336,44.68508940872321,125.58369362236697
90,0,0,3596400,0,0,3573,8.533227920532227,8.388172149658203,-0.04937168210744858,0.0,0.0,0.0,0.0,1001,86.61091633019939,89.19338848355464,30.579829911930656,119.86931402951689
91,0,0,3636360,0,0,3571,8.445740699768066,8.155731201171875,-0.050708893686532974,0.0,0.0,0.0,0.0,1001,85.6287706152146,87.92265137630578,-4.46917047259635,133.51167154116007
92,0,0,3676320,0,0,3572,8.35922622680664,9.013819694519043,-0.05011561140418053,0.0,0.0,0.0,0.0,1001,85.73883100371263,85.55531548720654,47.240442831788904,126.47003214406882
93,0,0,3716280,0,0,3570,8.275382995605469,7.6215338706970215,-0.051445890218019485,0.0,0.0,0.0,0.0,1001,86.19013523900627,88.40149984209296,35.548869522960814,124.8220220267398
94,0,0,3756240,0,0,3568,8.199479103088379,8.178536415100098,-0.050479818135499954,0.0,0.0,0.0,0.0,1001,86.24775318492411,88.48557222115447,25.38926893837902,124.60458042364886
95,0,0,3796200,0,0,3568,8.130965232849121,7.97878360748291,-0.04843449220061302,0.0,0.0,0.0,0.0,1001,87.77818603223696,87.60990584762267,35.59923273219212,140.3868660108774
96,0,0,3836160,0,0,3568,8.042534828186035,7.098784446716309,-0.051389168947935104,0.0,0.0,0.0,0.0,1001,92.61351469733428,91.73411361916715,50.02201192354843,128.71221147752763
97,0,0,3876120,0,0,3566,7.954854488372803,7.575761318206787,-0.04823899641633034,0.0,0.0,0.0,0.0,1001,90.37874186761294,91.15985772922537,32.52641376193713,141.63167584520238
98,0,0,3916080,0,0,3565,7.856409072875977,7.593056678771973,-0.05049346014857292,0.0,0.0,0.0,0.0,1001,92.82203993797448,92.1525508677037,49.244727166314846,142.22792407138635
99,0,0,3956040,0,0,3564,7.7703046798706055,7.41563606262207,-0.05059274286031723,0.0,0.0,0.0,0.0,1001,93.26348958709634,95.69064599022629,42.68286626064537,125.55527598361853
100,0,0,3996000,0,0,3562,7.68206262588501,7.14835262298584,-0.0495283342897892,0.0,0.0,0.0,0.0,1001,97.46516782640057,97.9933005456979,31.444319349517503,135.63325856442341
101,0,0,4035960,0,0,3563,7.592010021209717,7.109616756439209,-0.04925144091248512,0.0,0.0,0.0,0.0,1001,95.88250734653221,96.97897729672249,45.952524783172194,140.61268121793685
102,0,0,4075920,0,0,3561,7.510520935058594,7.369879722595215,-0.048889219760894775,0.0,0.0,0.0,0.0,1001,93.59669391160112,94.12178763090598,12.173586823478425,141.49364238750044
103,0,0,4115880,0,0,3560,7.429921627044678,8.056706428527832,-0.04702281206846237,0.0,0.0,0.0,0.0,1001,98.45409844588016,99.32972852686271,56.77816767819818,145.15392417673087
104,0,0,4155840,0,0,3558,7.354249000549316,7.651412010192871,-0.050047945231199265,0.0,0.0,0.0,0.0,1001,97.85489991274669,98.38848646069923,-6.204185504840888,143.5928295370225
105,0,0,4195800,0,0,3557,7.269492149353027,7.193780422210693,-0.04931161552667618,0.0,0.0,0.0,0.0,1001,99.63768367396726,97.34653035497863,47.57837780736765,150.36985152897685
106,0,0,4235760,0,0,3556,7.197338581085205,6.83228874206543,-0.0486752949655056,0.0,0.0,0.0,0.0,1001,103.0943232932134,104.79005506258133,49.186007067128706,164.23491241003006
107,0,0,4275720,0,0,3556,7.13052225112915,7.512882232666016,-0.04705047607421875,0.0,0.0,0.0,0.0,1001,98.28885293616949,97.99367401927387,46.745701098097356,165.28276975226015
108,0,0,4315680,0,0,3555,7.0604400634765625,6.953234672546387,-0.047858983278274536,0.0,0.0,0.0,0.0,1001,99.2678847619239,98.53929133100061,59.71937969214077,151.97456882683522
109,0,0,4355640,0,0,3555,6.992978572845459,7.003689765930176,-0.048216190189123154,0.0,0.0,0.0,0.0,1001,100.60653310154915,100.34207589883681,45.0987840960851,166.58519416317327
110,0,0,4395600,0,0,3555,6.912184715270996,6.7969560623168945,-0.04901844635605812,0.0,0.0,0.0,0.0,1001,104.22643685897687,106.41808647809066,49.642178824253435,153.62250103588565
