iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
1,0,0,39960,0,0,6104,5.670816421508789,49.67632293701172,-0.006946422625333071,0.0,0.0,0.0,0.0,125,-109.54307206213835,-109.37831883038612,-131.16122795543262,-97.96562340008529
2,0,0,79920,0,0,5940,5.678506851196289,2.992929458618164,-0.00841123703867197,0.0,0.0,0.0,0.0,125,-110.03078749389884,-109.39389528730015,-168.41384819120046,-98.61024612218824
3,0,0,119880,0,0,5634,5.648736953735352,0.1461111307144165,-0.012897344306111336,0.0,0.0,0.0,0.0,125,-110.12591989425904,-109.39389528730015,-168.41384819120046,-98.61024612218824
4,0,0,159840,0,0,5403,5.544898986816406,0.0539824478328228,-0.018573252484202385,0.0,0.0,0.0,0.0,125,-110.12591989425904,-109.39389528730015,-168.41384819120046,-98.61024612218824
5,0,0,199800,0,0,5208,5.531717777252197,1.3106579780578613,-0.008839297108352184,0.0,0.0,0.0,0.0,125,-108.9995510023005,-108.11144176509293,-168.41384819120046,-90.11200740498809
6,0,0,239760,0,0,5059,5.535510063171387,7.68873405456543,-0.007837583310902119,0.0,0.0,0.0,0.0,125,-105.35144507133447,-105.10393147341654,-124.61904158420862,-85.65871835685283
7,0,0,279720,0,0,4963,5.5324788093566895,1.951979637145996,-0.010195758193731308,0.0,0.0,0.0,0.0,125,-105.03587749972225,-105.37845009098817,-124.61904158420862,-72.74662086511042
8,0,0,319680,0,0,4897,5.4605913162231445,0.07099609822034836,-0.012061715126037598,0.0,0.0,0.0,0.0,125,-104.70112013350214,-105.3068498525088,-124.61904158420862,-72.74662086511042
9,0,0,359640,0,0,4843,5.361879825592041,0.0529002882540226,-0.01822481118142605,0.0,0.0,0.0,0.0,125,-104.70112013350214,-105.3068498525088,-124.61904158420862,-72.74662086511042
10,0,0,399600,0,0,4788,5.348193645477295,1.780670166015625,-0.009329658932983875,0.0,0.0,0.0,0.0,125,-94.4962396439427,-98.8182877052324,-121.82340108147325,-61.148010618006786
11,0,0,439560,0,0,4780,5.343474864959717,5.732077598571777,-0.010078207589685917,0.0,0.0,0.0,0.0,125,-86.8554694936443,-78.82274036065166,-123.24799467581013,-50.26758126722399
12,0,0,479520,0,0,4740,5.338076114654541,1.818298578262329,-0.009878577664494514,0.0,0.0,0.0,0.0,125,-87.67003698354591,-84.31703783855401,-128.35193527567387,-50.26758126722399
13,0,0,519480,0,0,4722,5.29710054397583,0.20419646799564362,-0.009106485173106194,0.0,0.0,0.0,0.0,125,-87.5928504225946,-85.91436117555139,-128.35193527567387,-50.26758126722399
14,0,0,559440,0,0,4719,5.214869976043701,0.06138782203197479,-0.01690215989947319,0.0,0.0,0.0,0.0,125,-87.5928504225946,-85.91436117555139,-128.35193527567387,-50.26758126722399
15,0,0,599400,0,0,4694,5.1973114013671875,2.1683826446533203,-0.009479758329689503,0.0,0.0,0.0,0.0,125,-74.741956754686,-62.73026741358137,-128.35193527567387,-33.99357378506909
16,0,0,639360,0,0,4672,5.186882972717285,3.4087698459625244,-0.009647233411669731,0.0,0.0,0.0,0.0,125,-62.55844524884125,-49.160478326829725,-121.91498920964823,-26.911411955542242
17,0,0,679320,0,0,4652,5.1650519371032715,0.48858872056007385,-0.011412751860916615,0.0,0.0,0.0,0.0,125,-63.27466983813962,-48.405731171243595,-124.51030906874624,-26.75936115805679
18,0,0,719280,0,0,4655,5.082908630371094,0.08023734390735626,-0.011696052737534046,0.0,0.0,0.0,0.0,125,-62.660567591706325,-48.15447485860929,-124.51030906874624,-26.75936115805679
19,0,0,759240,0,0,4643,4.997865200042725,0.08879851549863815,-0.01788962073624134,0.0,0.0,0.0,0.0,125,-62.660567591706325,-48.15447485860929,-124.51030906874624,-26.75936115805679
20,0,0,799200,0,0,4633,4.979655742645264,1.795240879058838,-0.010702060535550117,0.0,0.0,0.0,0.0,125,-41.848279259984714,-30.95742283127894,-124.51030906874624,2.959834132195135
21,0,0,839160,0,0,4622,4.972087860107422,1.6889960765838623,-0.011044751852750778,0.0,0.0,0.0,0.0,125,-33.47512323492277,-17.70527425420345,-121.55008990553333,2.959834132195135
22,0,0,879120,0,0,4609,4.925647258758545,0.31900396943092346,-0.007108940277248621,0.0,0.0,0.0,0.0,125,-31.255493837128107,-15.774111276004769,-121.55008990553333,6.88023378629176
23,0,0,919080,0,0,4605,4.833919525146484,0.1374448537826538,-0.0156645979732275,0.0,0.0,0.0,0.0,125,-30.982971111521696,-15.437936966161082,-121.55008990553333,9.24165891246995
24,0,0,959040,0,0,4602,4.7511749267578125,0.15349143743515015,-0.013246230781078339,0.0,0.0,0.0,0.0,125,-31.583560933651505,-15.437936966161082,-121.55008990553333,9.24165891246995
25,0,0,999000,0,0,4591,4.719770431518555,1.0456594228744507,-0.01066431775689125,0.0,0.0,0.0,0.0,125,-6.184226469432071,8.060946349380854,-123.74887846097599,53.67594083198343
26,0,0,1038960,0.96104,1.0,4537,10.366354942321777,6.298421859741211,0.054152712225914,1.3740429878234863,-0.012427929788827896,35.873085021972656,0.0,125,1.6877080685278216,19.814320049698125,-123.74887846097599,53.67594083198343
27,0,0,1078920,0.92108,1.0,4495,10.179753303527832,0.6816255450248718,0.09993167221546173,0.5210965871810913,-0.011846722103655338,1.5546892881393433,0.0,125,1.617062197844182,20.72321211249322,-123.74887846097599,53.67594083198343
28,0,0,1118880,0.88112,1.0,4448,9.836227416992188,0.2912023961544037,0.07310357689857483,0.19739031791687012,-0.011706436052918434,0.3483836054801941,0.0,125,0.8642615782105627,20.72321211249322,-123.74887846097599,53.67594083198343
29,0,0,1158840,0.84116,1.0,4410,9.462026596069336,0.2274462878704071,0.09848844259977341,0.15805594623088837,-0.018585100769996643,0.19594772160053253,0.0,125,3.455992589102572,22.223612348371176,-123.74887846097599,70.84952949705162
30,0,0,1198800,0.8012,1.0,4372,9.249688148498535,1.4942128658294678,0.036794085055589676,1.1753672361373901,-0.010571952909231186,3.6265244483947754,0.0,125,24.51901688343609,46.641079000963785,-119.09938079524785,77.80573082290464
31,0,0,1238760,0.76124,1.0,4336,9.117612838745117,1.7606738805770874,0.031168581917881966,1.3922888040542603,-0.01303030177950859,2.020723581314087,0.0,125,39.010421977303714,59.86049807822418,-119.09938079524785,92.53213781698291
32,0,0,1278720,0.7212799999999999,1.0,4315,8.962130546569824,1.8217051029205322,0.023322610184550285,1.4839612245559692,-0.010795497335493565,1.131885051727295,0.0,125,31.17927380739714,61.22995028570173,-119.09938079524785,96.32093994951194
33,0,0,1318680,0.6813199999999999,1.0,4286,8.778218269348145,1.2163453102111816,0.03196181729435921,0.8711912631988525,-0.01077319122850895,0.7465452551841736,0.0,125,26.8372882935713,60.957616267764934,-119.09938079524785,96.32093994951194
34,0,0,1358640,0.6413599999999999,1.0,4261,8.557596206665039,0.7595816254615784,0.02388252504169941,0.6149387955665588,-0.011223079636693,0.5470354557037354,0.0,125,29.322678893908865,63.816570216526856,-119.09938079524785,118.08688796682145
35,0,0,1398600,0.6013999999999999,1.0,4237,8.385506629943848,1.6391021013259888,0.01786019094288349,1.237657904624939,-0.010981830768287182,1.5255427360534668,0.0,125,58.88460842031731,98.15867866907837,-129.97013635399938,135.4472681333305
36,0,0,1438560,0.5614399999999999,1.0,4215,8.24472713470459,1.3553816080093384,0.03576263040304184,1.0334374904632568,-0.008057542145252228,0.7831082940101624,0.0,125,79.77802435483633,106.23126216856723,-131.91791433106613,136.37992114274215
37,0,0,1478520,0.5214799999999999,1.0,4191,8.099678039550781,1.2336883544921875,0.023911280557513237,0.9546403288841248,-0.010365450754761696,0.7916966676712036,0.0,125,83.38667151627702,109.26738156774913,-131.91791433106613,137.93981821298038
38,0,0,1518480,0.48151999999999995,1.0,4172,7.923802852630615,0.400071918964386,0.027040908113121986,0.35814008116722107,-0.007286022417247295,0.3291924297809601,0.0,125,80.90600296450341,109.74449528584745,-131.91791433106613,137.93981821298038
39,0,0,1558440,0.44155999999999995,1.0,4158,7.712256908416748,0.29877927899360657,0.039063163101673126,0.23913301527500153,-0.012171466834843159,0.22256910800933838,0.0,125,89.98931915677889,116.11101789841243,-131.91791433106613,152.86683026697605
40,0,0,1598400,0.40159999999999996,1.0,4145,7.54762077331543,0.4130401313304901,0.02031104266643524,0.3479248583316803,-0.01026358362287283,0.24079813063144684,0.0,125,115.79808214432772,132.26485812875438,-131.91791433106613,168.06612610331274
