iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
2,0,0,9840,0,0,4099,5.683379173278809,365.8780822753906,-0.0038154663052409887,0.0,0.0,0.0,0.0,406,-108.64709160253979,-108.88206778305987,-120.36604422447769,-98.04200962850389
3,0,0,14760,0,0,4913,5.683316707611084,72.99064636230469,-0.00793340802192688,0.0,0.0,0.0,0.0,406,-108.87502977201926,-108.39290799897536,-124.63619514141853,-97.21236742311902
4,0,0,19680,0,0,5235,5.683394908905029,52.4173698425293,-0.00595837039873004,0.0,0.0,0.0,0.0,406,-108.6984629509917,-108.3314465636164,-127.50936577882928,-97.21236742311902
5,0,0,24600,0,0,5350,5.682193279266357,28.819833755493164,-0.00577257527038455,0.0,0.0,0.0,0.0,406,-108.5185006758095,-106.91901305020477,-136.1614964331224,-97.21236742311902
6,0,0,29520,0,0,5431,5.680034160614014,18.210264205932617,-0.007167208474129438,0.0,0.0,0.0,0.0,406,-108.27359048161694,-105.90570750860218,-136.1614964331224,-97.21236742311902
7,0,0,34440,0,0,5607,5.676191329956055,14.191227912902832,-0.00874883309006691,0.0,0.0,0.0,0.0,406,-108.6507206356704,-105.90570750860218,-136.1614964331224,-97.21236742311902
8,0,0,39360,0,0,5731,5.671838760375977,5.401122570037842,-0.012194124050438404,0.0,0.0,0.0,0.0,406,-108.52565401327222,-105.5911625110535,-136.1614964331224,-97.21236742311902
9,0,0,44280,0,0,5769,5.670870304107666,3.002915143966675,-0.014043927192687988,0.0,0.0,0.0,0.0,406,-108.78091543735657,-105.99481703221332,-136.1614964331224,-98.2352148184646
10,0,0,49200,0,0,5751,5.6574201583862305,0.5097852349281311,-0.019605625420808792,0.0,0.0,0.0,0.0,406,-108.53922625078299,-105.74034765360567,-136.1614964331224,-98.2352148184646
11,0,0,54120,0,0,5702,5.632493495941162,0.386504590511322,-0.016054512932896614,0.0,0.0,0.0,0.0,406,-108.53922625078299,-105.74034765360567,-136.1614964331224,-98.2352148184646
12,0,0,59040,0,0,5702,5.604539394378662,0.18231694400310516,-0.01710345596075058,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
13,0,0,63960,0,0,5671,5.571778297424316,0.0811803862452507,-0.019599637016654015,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
14,0,0,68880,0,0,5649,5.528609752655029,0.049395374953746796,-0.018804611638188362,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
15,0,0,73800,0,0,5638,5.472054958343506,0.04060065373778343,-0.01722641848027706,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
16,0,0,78720,0,0,5601,5.4174323081970215,0.03406636789441109,-0.021711863577365875,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
17,0,0,83640,0,0,5583,5.369085311889648,0.036251168698072433,-0.01888071559369564,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
18,0,0,88560,0,0,5566,5.324427127838135,0.04040922969579697,-0.01980612240731716,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
19,0,0,93480,0,0,5545,5.290607452392578,0.036774348467588425,-0.022800035774707794,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
20,0,0,98400,0,0,5519,5.255373954772949,0.03505251929163933,-0.02174278162419796,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
21,0,0,103320,0,0,5493,5.2149481773376465,0.048366814851760864,-0.021870577707886696,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
22,0,0,108240,0,0,5452,5.171778202056885,0.04772359877824783,-0.025537917390465736,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
23,0,0,113160,0,0,5441,5.141242504119873,0.04938845336437225,-0.0233963243663311,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
24,0,0,118080,0,0,5422,5.104857921600342,0.050943583250045776,-0.021898463368415833,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
25,0,0,123000,0,0,5398,5.066761016845703,0.0586724691092968,-0.020768824964761734,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
26,0,0,127920,0,0,5398,5.037463665008545,0.05420299991965294,-0.023042263463139534,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
27,0,0,132840,0,0,5378,5.013564586639404,0.0641121044754982,-0.022725164890289307,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
28,0,0,137760,0,0,5367,4.9839372634887695,0.08362292498350143,-0.02462911419570446,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
29,0,0,142680,0,0,5348,4.952609539031982,0.0781128779053688,-0.024040251970291138,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
30,0,0,147600,0,0,5338,4.924489498138428,0.10414327681064606,-0.021129446104168892,0.0,0.0,0.0,0.0,406,-108.50295586707743,-105.74034765360567,-136.1614964331224,-98.2352148184646
31,0,0,152520,0,0,5323,4.905671119689941,0.4281672537326813,-0.012208988890051842,0.0,0.0,0.0,0.0,406,-108.85731079534162,-105.74034765360567,-159.11169809306102,-98.2352148184646
32,0,0,157440,0,0,5307,4.900842189788818,0.30594199895858765,-0.015147564001381397,0.0,0.0,0.0,0.0,406,-109.10510540143702,-105.74034765360567,-159.11169809306102,-98.2352148184646
33,0,0,162360,0,0,5298,4.8878254890441895,0.139235720038414,-0.017745856195688248,0.0,0.0,0.0,0.0,406,-109.10510540143702,-105.74034765360567,-159.11169809306102,-98.2352148184646
34,0,0,167280,0,0,5280,4.8634443283081055,0.11821378767490387,-0.024947959929704666,0.0,0.0,0.0,0.0,406,-109.10510540143702,-105.74034765360567,-159.11169809306102,-98.2352148184646
35,0,0,172200,0,0,5260,4.846094608306885,0.6853348612785339,-0.011558979749679565,0.0,0.0,0.0,0.0,406,-109.1580615339486,-105.99481703221332,-159.11169809306102,-98.2352148184646
36,0,0,177120,0,0,5244,4.845509052276611,1.9795318841934204,-0.009537801146507263,0.0,0.0,0.0,0.0,406,-109.42306194225549,-106.14627306509888,-159.11169809306102,-98.2352148184646
37,0,0,182040,0,0,5229,4.845458030700684,1.238374948501587,-0.013573075644671917,0.0,0.0,0.0,0.0,406,-109.91670737074257,-106.64311178323626,-159.11169809306102,-98.2352148184646
38,0,0,186960,0,0,5226,4.843597888946533,0.6323866844177246,-0.014131012372672558,0.0,0.0,0.0,0.0,406,-110.31724591410112,-106.83819480145038,-159.11169809306102,-98.2352148184646
