iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
2,0,0,7920,0,0,4067,5.65764856338501,309.1502380371094,-0.002193405292928219,0.0,0.0,0.0,0.0,1262,-110.5404300992025,-110.73774058190114,-115.93454179386237,-102.31171402285248
3,0,0,11880,0,0,4783,5.655941486358643,204.91741943359375,-0.0015645652310922742,0.0,0.0,0.0,0.0,1262,-108.87579194936424,-108.86516079769129,-119.81597356491474,-99.89361605821364
4,0,0,15840,0,0,5335,5.655846118927002,87.31657409667969,-0.0031458900775760412,0.0,0.0,0.0,0.0,1262,-108.83604353779113,-108.57628839915432,-124.57847733774656,-99.89361605821364
5,0,0,19800,0,0,5684,5.65565299987793,52.04541778564453,-0.0021936241537332535,0.0,0.0,0.0,0.0,1262,-109.2025910336499,-108.58811894255226,-127.41327217012768,-99.80036673119479
6,0,0,23760,0,0,5803,5.65487813949585,20.309139251708984,-0.003184674074873328,0.0,0.0,0.0,0.0,1262,-108.66974127237803,-107.386682211667,-131.59180331210854,-96.82687421289707
7,0,0,27720,0,0,5895,5.654440402984619,16.713512420654297,-0.0037226697895675898,0.0,0.0,0.0,0.0,1262,-108.13657460692659,-105.63224122552046,-131.59180331210854,-96.82687421289707
8,0,0,31680,0,0,6020,5.655364036560059,11.3169584274292,-0.005625198595225811,0.0,0.0,0.0,0.0,1262,-108.23513163593206,-105.41088826307589,-131.59180331210854,-96.82687421289707
9,0,0,35640,0,0,6147,5.654327392578125,5.819753646850586,-0.007134546991437674,0.0,0.0,0.0,0.0,1262,-108.16528070943998,-105.11524493286976,-131.59180331210854,-96.82687421289707
10,0,0,39600,0,0,6109,5.6538519859313965,5.872432231903076,-0.006378959398716688,0.0,0.0,0.0,0.0,1262,-107.93143879069564,-104.65725087616406,-131.59180331210854,-96.82687421289707
11,0,0,43560,0,0,6081,5.653024673461914,6.331357955932617,-0.007336992770433426,0.0,0.0,0.0,0.0,1262,-107.7612264859314,-104.448990341361,-131.59180331210854,-96.82687421289707
12,0,0,47520,0,0,6116,5.652177333831787,4.027799606323242,-0.006374752148985863,0.0,0.0,0.0,0.0,1262,-107.98027809202542,-105.11524493286976,-131.59180331210854,-96.82687421289707
13,0,0,51480,0,0,6129,5.6520233154296875,3.8462421894073486,-0.008179428055882454,0.0,0.0,0.0,0.0,1262,-108.07795742157579,-105.11524493286976,-131.59180331210854,-96.82687421289707
14,0,0,55440,0,0,6141,5.652458667755127,1.185875654220581,-0.012105720117688179,0.0,0.0,0.0,0.0,1262,-108.16660722062376,-105.37185965661052,-131.59180331210854,-96.82687421289707
15,0,0,59400,0,0,6115,5.651199817657471,1.0047731399536133,-0.01357150450348854,0.0,0.0,0.0,0.0,1262,-108.38756967179151,-105.46364863365079,-131.59180331210854,-96.82687421289707
16,0,0,63360,0,0,6116,5.648298740386963,0.5422037243843079,-0.012506598606705666,0.0,0.0,0.0,0.0,1262,-108.56040148876761,-105.62352361331227,-131.59180331210854,-96.82687421289707
17,0,0,67320,0,0,6123,5.6439995765686035,0.38763776421546936,-0.011500351130962372,0.0,0.0,0.0,0.0,1262,-108.55879444755074,-105.62352361331227,-131.59180331210854,-96.82687421289707
18,0,0,71280,0,0,6134,5.6368865966796875,0.3727298676967621,-0.010874069295823574,0.0,0.0,0.0,0.0,1262,-108.50959753737371,-105.62352361331227,-131.59180331210854,-96.82687421289707
19,0,0,75240,0,0,6072,5.620992660522461,0.20759068429470062,-0.01239444874227047,0.0,0.0,0.0,0.0,1262,-108.67034466478846,-105.94790176931365,-131.59180331210854,-96.82687421289707
20,0,0,79200,0,0,6043,5.601442337036133,0.30298909544944763,-0.012230053544044495,0.0,0.0,0.0,0.0,1262,-108.67034466478846,-105.94790176931365,-131.59180331210854,-96.82687421289707
21,0,0,83160,0,0,6028,5.5871758460998535,0.2899191379547119,-0.011181339621543884,0.0,0.0,0.0,0.0,1262,-108.78464073239351,-106.18272457074156,-131.59180331210854,-96.82687421289707
