iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
1,0,0,39960,0,0,5120,29.65321922302246,151.02752685546875,-0.048785146325826645,0.0,0.0,0.0,0.0,1501,-78.2783242236273,-71.18325790324728,-151.47553506600838,-25.75373469092263
2,0,0,79920,0,0,4924,29.532087326049805,143.59934997558594,-0.04752633720636368,0.0,0.0,0.0,0.0,1501,-71.15743342355842,-67.93306260384459,-217.24524319719728,-14.049100090694967
3,0,0,119880,0,0,4737,29.384666442871094,160.90567016601562,-0.048132844269275665,0.0,0.0,0.0,0.0,1501,-68.95724986240485,-64.56297703291807,-216.60684606741793,-7.0192739119744125
4,0,0,159840,0,0,4454,29.243284225463867,160.9674835205078,-0.0474739596247673,0.0,0.0,0.0,0.0,1501,-69.50109472711796,-57.502068668470116,-378.2202175976996,-4.066900227130297
5,0,0,199800,0,0,4322,29.057920455932617,101.70655059814453,-0.05562425032258034,0.0,0.0,0.0,0.0,1501,-58.836350445021026,-56.64083803473102,-202.90485781887898,-23.463732325368568
6,0,0,239760,0,0,4200,28.855976104736328,94.27650451660156,-0.05443395674228668,0.0,0.0,0.0,0.0,1501,-51.38843914049444,-49.86525167871021,-155.9414752747636,-17.019171156323758
7,0,0,279720,0,0,4101,28.609115600585938,68.89037322998047,-0.0557948537170887,0.0,0.0,0.0,0.0,1501,-48.30405729520655,-48.213035102667725,-97.61186667963807,12.58777053611913
8,0,0,319680,0,0,4058,28.361791610717773,73.99005889892578,-0.04879161715507507,0.0,0.0,0.0,0.0,1501,-42.01657740775074,-40.96391950497345,-85.96901016775011,-6.444457780269367
9,0,0,359640,0,0,4014,28.067745208740234,47.35954666137695,-0.05669253692030907,0.0,0.0,0.0,0.0,1501,-38.66333049125378,-37.21907590926507,-95.38358601327485,-2.072395973948144
10,0,0,399600,0,0,3971,27.754182815551758,40.924964904785156,-0.055816907435655594,0.0,0.0,0.0,0.0,1501,-35.28274222891703,-34.38871790376393,-81.15418198531557,-6.022435580699113
11,0,0,439560,0,0,3947,27.4285831451416,35.86758804321289,-0.05557209998369217,0.0,0.0,0.0,0.0,1501,-31.991905385026392,-31.10086027306308,-74.58729948674073,-4.585397031722828
12,0,0,479520,0,0,3920,27.099271774291992,36.41986846923828,-0.053820665925741196,0.0,0.0,0.0,0.0,1501,-29.769983013628334,-30.133957400904823,-67.32762943067571,0.2126281930933258
13,0,0,519480,0,0,3885,26.76362419128418,46.505393981933594,-0.041847776621580124,0.0,0.0,0.0,0.0,1501,-27.779584632116144,-27.369697559397906,-76.75378543290641,6.597612812412592
14,0,0,559440,0,0,3870,26.366994857788086,27.365234375,-0.05095495656132698,0.0,0.0,0.0,0.0,1501,-22.550513103329884,-23.5417710826609,-70.96590063049717,23.652453736109862
15,0,0,599400,0,0,3857,26.011493682861328,22.571260452270508,-0.0517675057053566,0.0,0.0,0.0,0.0,1501,-22.747306862160706,-21.32373167966339,-62.237307584783416,3.756226479175135
16,0,0,639360,0,0,3845,25.630218505859375,21.907854080200195,-0.05017297342419624,0.0,0.0,0.0,0.0,1501,-20.643185961825104,-19.493080977430147,-61.785678012239195,4.281359721595257
17,0,0,679320,0,0,3826,25.23735809326172,20.888212203979492,-0.04932261258363724,0.0,0.0,0.0,0.0,1501,-16.639060822131185,-15.961816704837863,-45.806643824886244,13.74962196021838
18,0,0,719280,0,0,3817,24.86067008972168,22.568675994873047,-0.04424821585416794,0.0,0.0,0.0,0.0,1501,-17.76699609051478,-16.053327306104997,-139.2131278240735,4.697708619518588
19,0,0,759240,0,0,3801,24.446544647216797,15.290060043334961,-0.051368847489356995,0.0,0.0,0.0,0.0,1501,-14.77476240317602,-12.825077088746141,-45.08940208284532,4.205847276559653
