iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
1,0,0,39960,0,0,5492,29.645734786987305,164.68890380859375,-0.0489451102912426,0.0,0.0,0.0,0.0,1501,-83.22804983573904,-73.04050070381723,-340.51575893782075,-4.044560235823717
2,0,0,79920,0,0,4865,29.53196907043457,158.9432830810547,-0.04701925069093704,0.0,0.0,0.0,0.0,1501,-77.49752643644224,-66.7474781177883,-511.0657077754866,2.1397768266828887
3,0,0,119880,0,0,4399,29.3917293548584,144.6203155517578,-0.05189474672079086,0.0,0.0,0.0,0.0,1501,-67.3556365209285,-67.74919609706939,-122.343485654122,-2.8523998320068955
4,0,0,159840,0,0,4146,29.22434425354004,138.52688598632812,-0.04800957441329956,0.0,0.0,0.0,0.0,1501,-61.646322921810196,-56.91232727756112,-169.19895944004713,-21.59425359552764
5,0,0,199800,0,0,4027,29.037492752075195,108.64276885986328,-0.053277164697647095,0.0,0.0,0.0,0.0,1501,-58.04757265748446,-52.907399057455905,-140.12399212047308,-5.538968366112289
6,0,0,239760,0,0,3978,28.822694778442383,103.53764343261719,-0.051613304764032364,0.0,0.0,0.0,0.0,1501,-58.648203962929486,-48.203584590068026,-491.1510663876037,-24.383808980562655
7,0,0,279720,0,0,3931,28.5775203704834,77.20142364501953,-0.052874855697155,0.0,0.0,0.0,0.0,1501,-51.034153682479946,-48.068806139025355,-132.720433587198,-14.624629981019794
8,0,0,319680,0,0,3896,28.324813842773438,68.26512908935547,-0.05149255692958832,0.0,0.0,0.0,0.0,1501,-43.831339352435855,-42.9416450254827,-84.11715267974162,-8.607257055717392
9,0,0,359640,0,0,3855,28.025827407836914,48.64574432373047,-0.05512729287147522,0.0,0.0,0.0,0.0,1501,-36.818867501217554,-35.15071789560167,-77.98806562694304,-13.039031738927122
10,0,0,399600,0,0,3823,27.7124080657959,39.78818130493164,-0.05688983574509621,0.0,0.0,0.0,0.0,1501,-33.918840727066815,-34.76446172926175,-70.41125402742512,-0.9460847758508759
11,0,0,439560,0,0,3796,27.36124038696289,38.560482025146484,-0.051152050495147705,0.0,0.0,0.0,0.0,1501,-32.56789771007589,-31.815389170079108,-70.69771908730365,-3.500659879315764
12,0,0,479520,0,0,3783,27.00174903869629,35.069339752197266,-0.052932269871234894,0.0,0.0,0.0,0.0,1501,-28.43286197711829,-28.612480783175755,-73.51287872685239,2.723560253146447
13,0,0,519480,0,0,3770,26.63845443725586,28.131690979003906,-0.05161266028881073,0.0,0.0,0.0,0.0,1501,-25.042857594939264,-24.723415535711233,-89.94387219474253,-3.2720247858900073
14,0,0,559440,0,0,3759,26.245540618896484,23.39447021484375,-0.054335303604602814,0.0,0.0,0.0,0.0,1501,-21.306052834258406,-20.36049730801404,-44.995705160793435,-0.3412154416767681
15,0,0,599400,0,0,3749,25.857707977294922,22.59931755065918,-0.052733756601810455,0.0,0.0,0.0,0.0,1501,-20.753851443354815,-20.053939551831583,-52.812326599220604,12.366099747102764
16,0,0,639360,0,0,3739,25.45487403869629,20.70722770690918,-0.05275878682732582,0.0,0.0,0.0,0.0,1501,-20.21616010356889,-18.90736464681677,-45.468326885381565,3.1422131643285924
17,0,0,679320,0,0,3732,25.049850463867188,18.75803565979004,-0.05254204571247101,0.0,0.0,0.0,0.0,1501,-18.202215624882935,-16.99864259209769,-59.51465005319794,0.33516988867244013
18,0,0,719280,0,0,3735,24.697391510009766,22.66742515563965,-0.04467754438519478,0.0,0.0,0.0,0.0,1501,-16.62828264089713,-16.014445247186895,-47.31437179972774,1.9861003493128484
19,0,0,759240,0,0,3731,24.305591583251953,15.634408950805664,-0.0503983236849308,0.0,0.0,0.0,0.0,1501,-13.088993189608235,-11.682838311599593,-52.76351869478761,15.727193040713695
20,0,0,799200,0,0,3734,23.89401626586914,14.985260963439941,-0.05140645056962967,0.0,0.0,0.0,0.0,1501,-12.450997491727481,-11.750079676446894,-42.86441904581856,8.284406278551565
21,0,0,839160,0,0,3737,23.475160598754883,14.068397521972656,-0.05019749701023102,0.0,0.0,0.0,0.0,1501,-10.482756201366564,-9.693999504570389,-36.797463219295196,11.677101109458373
22,0,0,879120,0,0,3731,23.05868148803711,13.144892692565918,-0.04949859902262688,0.0,0.0,0.0,0.0,1501,-8.4766731006173,-8.596286239991652,-31.9006977080194,12.488078589565026
23,0,0,919080,0,0,3731,22.639245986938477,12.665566444396973,-0.04588349163532257,0.0,0.0,0.0,0.0,1501,-7.239320487306344,-5.753859975925061,-29.945284614954414,16.977160888519016
24,0,0,959040,0,0,3731,22.228506088256836,9.579893112182617,-0.05067349225282669,0.0,0.0,0.0,0.0,1501,-5.647149258313592,-5.204453805038573,-32.07160506665729,18.582067697557036
25,0,0,999000,0,0,3728,21.803682327270508,9.029853820800781,-0.04936438798904419,0.0,0.0,0.0,0.0,1501,-4.39556602692845,-4.525165513504694,-24.602385714140333,20.770848588327357
26,0,0,1038960,0,0,3722,21.37720489501953,8.779417991638184,-0.047386884689331055,0.0,0.0,0.0,0.0,1501,-2.2506292078610466,-1.1532558923203697,-44.66906575800173,20.969969208896394
27,0,0,1078920,0,0,3722,20.958829879760742,7.581160545349121,-0.04752129316329956,0.0,0.0,0.0,0.0,1501,-2.8265141578354123,-3.1974723359612307,-29.532781816317105,16.53512822364959
28,0,0,1118880,0,0,3716,20.54596710205078,7.153794288635254,-0.04664386063814163,0.0,0.0,0.0,0.0,1501,1.0603511659267721,0.43451074957502045,-17.53502671479441,25.843022294417008
