iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
2,0,0,7920,0,0,3908,5.682966232299805,265.1173400878906,-0.005951727274805307,0.0,0.0,0.0,0.0,757,-109.33449173077324,-109.66222118777782,-117.49037732940664,-100.52497949472753
3,0,0,11880,0,0,4555,5.681578636169434,199.36683654785156,-0.003649229882284999,0.0,0.0,0.0,0.0,757,-108.68975783088374,-106.6575513827273,-123.52493981496308,-99.50364779345132
4,0,0,15840,0,0,5017,5.680302143096924,103.48787689208984,-0.005078988615423441,0.0,0.0,0.0,0.0,757,-108.9124773576394,-107.83806723825012,-126.49493953526392,-99.50364779345132
5,0,0,19800,0,0,5321,5.680935859680176,30.131277084350586,-0.005888316314667463,0.0,0.0,0.0,0.0,757,-109.10689973962246,-107.83806723825012,-126.49493953526392,-99.50364779345132
6,0,0,23760,0,0,5501,5.681743621826172,22.069753646850586,-0.0058492133393883705,0.0,0.0,0.0,0.0,757,-108.61189367179456,-106.90754585651433,-126.49493953526392,-97.43596358083701
7,0,0,27720,0,0,5704,5.682613372802734,18.742483139038086,-0.008349006064236164,0.0,0.0,0.0,0.0,757,-109.06049528810111,-106.65703707912905,-134.23187517951305,-97.43596358083701
8,0,0,31680,0,0,5822,5.6790547370910645,15.244020462036133,-0.008160293102264404,0.0,0.0,0.0,0.0,757,-108.999345185667,-106.65703707912905,-134.23187517951305,-97.43596358083701
9,0,0,35640,0,0,5932,5.673051834106445,9.550085067749023,-0.014182652346789837,0.0,0.0,0.0,0.0,757,-108.77925491722154,-106.65703707912905,-134.23187517951305,-97.43596358083701
10,0,0,39600,0,0,5980,5.672669410705566,8.844036102294922,-0.01208313088864088,0.0,0.0,0.0,0.0,757,-108.86167657454901,-106.61349407434713,-135.43516246055438,-97.43596358083701
11,0,0,43560,0,0,5985,5.676636219024658,8.520975112915039,-0.0111744599416852,0.0,0.0,0.0,0.0,757,-108.7618860490752,-106.61349407434713,-135.43516246055438,-97.43596358083701
12,0,0,47520,0,0,5987,5.670553684234619,2.9999775886535645,-0.016908472403883934,0.0,0.0,0.0,0.0,757,-109.05163293213097,-106.47772828870421,-135.43516246055438,-97.43596358083701
13,0,0,51480,0,0,5967,5.655594825744629,1.8858058452606201,-0.012783011421561241,0.0,0.0,0.0,0.0,757,-109.11004211582127,-106.39808790830213,-135.43516246055438,-97.43596358083701
14,0,0,55440,0,0,5996,5.641058444976807,0.812617838382721,-0.013610145077109337,0.0,0.0,0.0,0.0,757,-109.16361591256039,-106.39808790830213,-135.43516246055438,-97.43596358083701
15,0,0,59400,0,0,6012,5.618650436401367,0.342079758644104,-0.011453513987362385,0.0,0.0,0.0,0.0,757,-109.16361591256039,-106.39808790830213,-135.43516246055438,-97.43596358083701
16,0,0,63360,0,0,6014,5.586679935455322,0.4826599657535553,-0.009769894182682037,0.0,0.0,0.0,0.0,757,-109.16361591256039,-106.39808790830213,-135.43516246055438,-97.43596358083701
17,0,0,67320,0,0,6009,5.554211616516113,0.08971842378377914,-0.01760849915444851,0.0,0.0,0.0,0.0,757,-109.23959302477873,-106.39808790830213,-135.43516246055438,-97.43596358083701
18,0,0,71280,0,0,5999,5.507081031799316,0.05092467740178108,-0.015330938622355461,0.0,0.0,0.0,0.0,757,-109.23959302477873,-106.39808790830213,-135.43516246055438,-97.43596358083701
19,0,0,75240,0,0,5986,5.463892459869385,0.04521850496530533,-0.017409229651093483,0.0,0.0,0.0,0.0,757,-109.23959302477873,-106.39808790830213,-135.43516246055438,-97.43596358083701
