iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
1,0,1.6083333333333334,39960,0,0,5221,29.63783073425293,155.36143493652344,0.014636811800301075,0.0,0.0,0.0,0.0,1501,-80.08319557313649,-75.3174627389431,-187.634468583005,-8.44120497858809
2,0,1.5833333333333333,79920,0,0,4852,29.501005172729492,157.82376098632812,-0.018279502168297768,0.0,0.0,0.0,0.0,1501,-79.37543432626208,-69.93718364908196,-221.33701720037055,28.419469179375774
3,0,1.5583333333333333,119880,0,0,4520,29.332475662231445,142.50668334960938,-0.023773979395627975,0.0,0.0,0.0,0.0,1501,-67.43722565712123,-64.05573766358175,-159.30434885703383,-19.158657604284613
4,0,1.4333333333333333,159840,0,0,4212,29.16458511352539,136.4083709716797,-0.025038156658411026,0.0,0.0,0.0,0.0,1501,-59.433359415692806,-55.12658040237727,-282.0362796674433,-10.500109334360562
5,0,1.4,199800,0,0,4053,28.93608856201172,97.84957122802734,-0.029208745807409286,0.0,0.0,0.0,0.0,1501,-52.428443236854505,-48.72628090525443,-141.14135528707104,-4.997540727845644
6,0,1.3333333333333333,239760,0,0,3950,28.707731246948242,89.02532958984375,-0.024892915040254593,0.0,0.0,0.0,0.0,1501,-46.747874656199656,-43.49357342053527,-160.1299125037552,-12.213542706608798
7,0,1.5,279720,0,0,3873,28.399085998535156,53.672908782958984,-0.02998996526002884,0.0,0.0,0.0,0.0,1501,-43.28184227725722,-41.05866510494605,-152.77385484921973,-7.809695594968069
8,0,1.4333333333333333,319680,0,0,3823,28.07036781311035,47.91525650024414,-0.0286205243319273,0.0,0.0,0.0,0.0,1501,-39.428706184854356,-36.862840205424135,-103.62348238120926,-4.83852826069129
9,0,1.5583333333333333,359640,0,0,3799,27.694564819335938,43.758365631103516,-0.026147034019231796,0.0,0.0,0.0,0.0,1501,-32.11682280122443,-30.24209553870297,-99.61018644142982,17.709223006555273
10,0,1.5833333333333333,399600,0,0,3812,27.315208435058594,35.56892013549805,-0.02187155745923519,0.0,0.0,0.0,0.0,1501,-27.69419209198322,-27.33287257126453,-49.5841395567541,-1.2196015304402916
11,0,1.6166666666666667,439560,0,0,3790,26.8937931060791,35.68661880493164,-0.02224472537636757,0.0,0.0,0.0,0.0,1501,-25.32713355729299,-23.966525683422496,-125.19381819114076,5.589687067506459
12,0,1.7333333333333334,479520,0,0,3757,26.454017639160156,26.17877769470215,-0.021353187039494514,0.0,0.0,0.0,0.0,1501,-21.560571231344344,-19.967044129252784,-168.10618577851693,5.595367999013525
13,0,1.775,519480,0,0,3730,26.00799560546875,23.76422119140625,-0.020747153088450432,0.0,0.0,0.0,0.0,1501,-19.85049100880645,-19.15350038086631,-52.37786059150633,-0.6046329461768032
14,0,1.6583333333333334,559440,0,0,3710,25.53152847290039,21.426834106445312,-0.017413612455129623,0.0,0.0,0.0,0.0,1501,-17.160470473462688,-16.301322392753885,-41.65924826958548,5.044845490935778
15,0,1.725,599400,0,0,3696,25.06034278869629,17.2351016998291,-0.017221873626112938,0.0,0.0,0.0,0.0,1501,-13.947313337189211,-13.882094021070872,-41.0189510931359,6.7025517510834565
