iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
1,0,1.5916666666666666,39960,0,0,5291,29.65785026550293,155.3481903076172,0.01665157824754715,0.0,0.0,0.0,0.0,1501,-84.20669976667847,-75.40288415628082,-298.47915155544547,3.9269742803738747
2,0,1.625,79920,0,0,5111,29.510845184326172,186.87841796875,-0.015536768361926079,0.0,0.0,0.0,0.0,1501,-76.47558570194761,-69.3886020212984,-223.45053027454946,-7.627893032748828
3,0,1.5333333333333334,119880,0,0,4648,29.335912704467773,158.73870849609375,-0.021203501150012016,0.0,0.0,0.0,0.0,1501,-71.23634830691554,-61.67443892362219,-422.6986124222433,-17.922932766004187
4,0,1.4916666666666667,159840,0,0,4360,29.159439086914062,139.65858459472656,-0.02149159461259842,0.0,0.0,0.0,0.0,1501,-60.23353196804216,-57.16936044645206,-183.05301924145,-20.526896116011375
5,0,1.5333333333333334,199800,0,0,4202,28.945419311523438,100.06715393066406,-0.027725929394364357,0.0,0.0,0.0,0.0,1501,-56.672680162776174,-53.043114629201824,-192.46716890053418,-11.945367403193833
6,0,1.425,239760,0,0,4129,28.69239044189453,72.0804443359375,-0.028870971873402596,0.0,0.0,0.0,0.0,1501,-51.24793781655027,-49.205222942135805,-144.7497262114265,-18.095896125366618
7,0,1.4666666666666666,279720,0,0,4039,28.40918731689453,61.67259216308594,-0.028448721393942833,0.0,0.0,0.0,0.0,1501,-44.008929273765496,-42.38079286981069,-120.50698633714985,-13.39270021455829
8,0,1.4583333333333333,319680,0,0,3966,28.099287033081055,59.763973236083984,-0.024984164163470268,0.0,0.0,0.0,0.0,1501,-38.31574070084449,-37.13376630878057,-106.97853212294285,1.2702264160685806
9,0,1.5166666666666666,359640,0,0,3915,27.74970245361328,40.81440353393555,-0.029022596776485443,0.0,0.0,0.0,0.0,1501,-33.89425585551364,-35.067742295233415,-67.00574637098424,-7.488056986524519
10,0,1.5083333333333333,399600,0,0,3878,27.378808975219727,38.30544662475586,-0.02378508262336254,0.0,0.0,0.0,0.0,1501,-30.44752556960156,-28.09256355598344,-131.16839831920134,-5.025111670362342
